iter	Passed	Remaining
0	128	128360
1	130	65186
2	132	44040
3	134	33407
4	138	27518
5	139	23183
6	141	20076
7	148	18357
8	154	16961
9	156	15457
10	158	14250
11	160	13204
12	161	12282
13	163	11526
14	167	11001
15	169	10420
16	171	9900
17	173	9450
18	179	9290
19	183	8973
20	185	8631
21	187	8354
22	189	8057
23	192	7832
24	195	7611
25	196	7374
26	198	7142
27	199	6925
28	201	6754
29	204	6596
30	205	6430
31	213	6457
32	215	6324
33	218	6211
34	222	6124
35	224	6016
36	226	5892
37	235	5956
38	237	5844
39	240	5781
40	242	5670
41	244	5568
42	246	5492
43	248	5395
44	250	5307
45	251	5217
46	253	5146
47	255	5072
48	257	4994
49	259	4932
50	261	4861
51	263	4805
52	265	4743
53	267	4690
54	269	4627
55	271	4569
56	272	4506
57	274	4450
58	275	4392
59	276	4336
60	278	4286
61	280	4244
62	282	4196
63	283	4147
64	285	4103
65	286	4059
66	288	4014
67	289	3970
68	291	3928
69	293	3896
70	295	3860
71	296	3822
72	298	3784
73	299	3746
74	301	3723
75	303	3693
76	305	3657
77	306	3623
78	308	3594
79	310	3567
80	312	3541
81	313	3511
82	314	3474
83	317	3457
84	318	3429
85	320	3403
86	321	3376
87	323	3355
88	325	3332
89	327	3311
90	328	3285
91	331	3273
92	333	3251
93	335	3228
94	336	3205
95	338	3187
96	341	3180
97	343	3158
98	344	3137
99	346	3122
100	348	3105
101	350	3082
102	351	3061
103	353	3044
104	354	3025
105	357	3013
106	359	2997
107	360	2979
108	362	2963
109	364	2945
110	365	2926
111	366	2909
112	369	2900
113	371	2888
114	373	2872
115	375	2859
116	376	2844
117	378	2829
118	380	2814
119	381	2797
120	383	2785
121	384	2769
122	386	2757
123	388	2741
124	389	2725
125	391	2713
126	392	2699
127	394	2686
128	395	2671
129	396	2656
130	399	2652
131	402	2644
132	403	2632
133	405	2620
134	407	2610
135	409	2599
136	410	2586
137	412	2574
138	415	2574
139	417	2563
140	419	2553
141	420	2542
142	423	2537
143	424	2525
144	426	2516
145	429	2512
146	433	2513
147	435	2505
148	437	2498
149	439	2490
150	441	2480
151	445	2485
152	447	2477
153	448	2466
154	450	2458
155	452	2449
156	454	2437
157	455	2427
158	457	2418
159	459	2414
160	461	2402
161	462	2393
162	463	2382
163	465	2374
164	467	2365
165	469	2356
166	470	2346
167	471	2336
168	473	2330
169	475	2322
170	477	2312
171	478	2302
172	480	2294
173	481	2286
174	483	2278
175	484	2269
176	486	2260
177	488	2257
178	490	2249
179	492	2243
180	493	2234
181	495	2226
182	497	2219
183	498	2211
184	500	2203
185	501	2194
186	503	2188
187	505	2183
188	507	2176
189	508	2169
190	510	2161
191	511	2154
192	513	2148
193	515	2141
194	516	2133
195	518	2127
196	520	2121
197	521	2114
198	523	2107
199	525	2102
200	527	2096
201	529	2093
202	531	2086
203	532	2079
204	535	2078
205	537	2071
206	538	2064
207	540	2057
208	541	2051
209	543	2044
210	545	2037
211	546	2031
212	548	2025
213	552	2030
214	554	2024
215	556	2018
216	557	2011
217	559	2005
218	560	1999
219	561	1992
220	563	1985
221	565	1980
222	566	1975
223	568	1969
224	570	1963
225	574	1966
226	575	1960
227	577	1953
228	578	1947
229	580	1942
230	582	1938
231	583	1932
232	585	1926
233	587	1921
234	588	1915
235	589	1908
236	591	1903
237	592	1896
238	593	1890
239	595	1885
240	596	1879
241	598	1873
242	599	1867
243	601	1863
244	603	1858
245	604	1852
246	605	1846
247	607	1840
248	608	1835
249	610	1830
250	611	1825
251	613	1819
252	614	1814
253	616	1809
254	617	1804
255	619	1799
256	620	1794
257	622	1789
258	623	1784
259	625	1779
260	626	1774
261	628	1769
262	629	1764
263	631	1759
264	632	1755
265	634	1750
266	635	1745
267	637	1740
268	638	1735
269	640	1730
270	641	1725
271	643	1721
272	644	1716
273	645	1711
274	647	1708
275	649	1703
276	650	1698
277	652	1695
278	655	1693
279	657	1690
280	659	1686
281	660	1682
282	662	1679
283	664	1675
284	666	1671
285	667	1667
286	670	1664
287	671	1660
288	673	1655
289	674	1652
290	676	1648
291	678	1645
292	679	1640
293	681	1636
294	683	1632
295	684	1627
296	685	1623
297	687	1619
298	688	1615
299	690	1610
300	692	1607
301	694	1604
302	695	1599
303	696	1595
304	698	1592
305	700	1589
306	702	1585
307	703	1581
308	706	1579
309	708	1577
310	710	1574
311	712	1570
312	714	1567
313	718	1569
314	720	1566
315	722	1563
316	724	1560
317	725	1556
318	727	1552
319	728	1548
320	730	1545
321	732	1541
322	733	1537
323	734	1533
324	736	1529
325	738	1526
326	739	1522
327	741	1518
328	742	1515
329	744	1510
330	746	1508
331	747	1504
332	749	1500
333	750	1496
334	752	1492
335	754	1490
336	755	1486
337	757	1482
338	758	1479
339	760	1476
340	762	1473
341	763	1469
342	765	1465
343	766	1461
344	768	1458
345	769	1455
346	771	1451
347	772	1447
348	774	1444
349	776	1441
350	777	1438
351	779	1434
352	780	1431
353	782	1427
354	784	1425
355	785	1421
356	787	1418
357	789	1415
358	791	1412
359	792	1409
360	794	1405
361	795	1402
362	797	1399
363	799	1397
364	801	1394
365	803	1391
366	805	1388
367	807	1386
368	809	1383
369	810	1380
370	812	1377
371	814	1374
372	816	1371
373	818	1369
374	819	1366
375	821	1363
376	823	1360
377	824	1357
378	826	1353
379	827	1350
380	829	1347
381	830	1344
382	832	1341
383	834	1338
384	835	1335
385	837	1332
386	838	1328
387	840	1325
388	841	1322
389	843	1318
390	845	1316
391	846	1313
392	848	1310
393	850	1307
394	851	1304
395	853	1301
396	854	1298
397	856	1295
398	857	1291
399	859	1288
400	860	1285
401	862	1282
402	863	1279
403	865	1276
404	866	1273
405	868	1270
406	869	1267
407	870	1263
408	872	1260
409	874	1258
410	876	1256
411	878	1253
412	879	1250
413	880	1246
414	882	1244
415	884	1241
416	885	1237
417	886	1234
418	888	1231
419	889	1228
420	891	1226
421	892	1223
422	894	1220
423	895	1216
424	897	1214
425	899	1211
426	900	1208
427	902	1205
428	903	1202
429	905	1200
430	906	1197
431	908	1194
432	909	1191
433	911	1189
434	913	1186
435	915	1183
436	916	1180
437	918	1177
438	920	1175
439	921	1172
440	923	1170
441	924	1167
442	926	1165
443	928	1162
444	930	1159
445	931	1156
446	932	1154
447	934	1151
448	935	1148
449	937	1145
450	938	1142
451	939	1139
452	941	1136
453	943	1134
454	944	1131
455	946	1128
456	947	1126
457	949	1123
458	951	1121
459	953	1119
460	955	1116
461	957	1114
462	958	1112
463	960	1109
464	961	1106
465	963	1104
466	965	1102
467	967	1099
468	968	1097
469	970	1094
470	971	1091
471	973	1089
472	975	1086
473	976	1083
474	978	1081
475	980	1079
476	981	1076
477	983	1074
478	988	1075
479	990	1073
480	992	1070
481	993	1068
482	997	1067
483	999	1065
484	1001	1063
485	1003	1060
486	1004	1058
487	1006	1056
488	1010	1055
489	1011	1053
490	1013	1050
491	1014	1047
492	1017	1046
493	1019	1044
494	1020	1041
495	1022	1038
496	1025	1038
497	1027	1036
498	1029	1033
499	1030	1030
500	1032	1028
501	1034	1026
502	1036	1023
503	1037	1021
504	1040	1020
505	1054	1029
506	1057	1028
507	1058	1025
508	1060	1022
509	1062	1020
510	1064	1018
511	1065	1015
512	1067	1013
513	1068	1010
514	1070	1007
515	1071	1005
516	1073	1002
517	1074	999
518	1076	997
519	1080	997
520	1082	995
521	1084	992
522	1086	991
523	1088	988
524	1089	985
525	1091	983
526	1092	980
527	1094	978
528	1096	976
529	1097	973
530	1099	971
531	1101	968
532	1102	966
533	1104	963
534	1105	960
535	1106	958
536	1108	955
537	1110	953
538	1111	950
539	1113	948
540	1115	946
541	1117	944
542	1119	942
543	1121	940
544	1123	938
545	1126	936
546	1127	934
547	1129	931
548	1132	930
549	1135	929
550	1137	926
551	1140	925
552	1143	924
553	1145	922
554	1147	920
555	1149	917
556	1150	915
557	1152	912
558	1153	910
559	1155	908
560	1158	906
561	1159	903
562	1161	901
563	1162	899
564	1164	896
565	1165	893
566	1166	891
567	1168	888
568	1170	886
569	1173	885
570	1174	882
571	1176	880
572	1178	877
573	1179	875
574	1180	872
575	1182	870
576	1184	868
577	1185	865
578	1187	863
579	1188	860
580	1190	858
581	1192	856
582	1194	854
583	1196	851
584	1197	849
585	1199	847
586	1201	845
587	1202	842
588	1204	840
589	1205	837
590	1207	835
591	1208	832
592	1210	830
593	1211	828
594	1212	825
595	1214	823
596	1216	820
597	1217	818
598	1219	816
599	1220	813
600	1223	812
601	1224	809
602	1225	807
603	1227	804
604	1228	801
605	1231	800
606	1232	798
607	1233	795
608	1235	793
609	1236	790
610	1238	788
611	1240	786
612	1241	783
613	1243	781
614	1245	779
615	1247	777
616	1249	775
617	1250	772
618	1251	770
619	1253	768
620	1255	766
621	1256	763
622	1258	761
623	1260	759
624	1262	757
625	1263	755
626	1265	752
627	1266	750
628	1269	748
629	1271	746
630	1273	744
631	1276	743
632	1278	741
633	1280	739
634	1281	736
635	1283	734
636	1285	732
637	1286	729
638	1287	727
639	1289	725
640	1291	723
641	1292	720
642	1294	718
643	1295	716
644	1297	714
645	1299	712
646	1301	709
647	1302	707
648	1303	705
649	1305	703
650	1307	701
651	1309	698
652	1310	696
